08/07/2016 08:16,Bananarama,Venus
08/07/2016 08:12,Bob Marley &amp; The Wailers,Jammin&apos;
08/07/2016 08:09,Mamas &amp; The Papas,San Francisco (Live)
08/07/2016 08:06,George Michael,Faith
08/07/2016 08:00,Abba,Thank You For The Music
08/07/2016 07:56,Pointer Sisters,Im So Excited
08/07/2016 07:52,Gibson Brothers,Cuba
08/07/2016 07:49,A-ha,Take On Me
08/07/2016 07:43,Patti Smith,Because The Night
08/07/2016 07:40,Cher,If I Could Turn Back Time
08/07/2016 07:36,Maxine Nightingale,Right Back Where We Started From
08/07/2016 07:32,Culture Club,Do You Really Want To Hurt Me
08/07/2016 07:27,Boston,More Than A Feeling
08/07/2016 07:24,Samantha Fox,I Only Wanna Be With You
08/07/2016 07:19,Chic,Good Times
08/07/2016 07:15,Glenn Frey,The Heat Is On
08/07/2016 07:13,Aretha Franklin,Think
08/07/2016 07:10,Prince,Kiss
08/07/2016 07:06,Inxs,Need You Tonight
08/07/2016 06:57,Phil Collins,Easy Lover (Duet With Philip Bailey)
08/07/2016 06:53,Eurythmics,Sweet Dreams (Are Made Of This)
08/07/2016 06:48,Village People,In The Navy
08/07/2016 06:45,Bob Marley &amp; The Wailers,Buffalo Soldier (Edit Version)
08/07/2016 06:39,George Harrison,Got My Mind Set On You
08/07/2016 06:35,Madonna,Into The Groove
08/07/2016 06:33,Olivia Newton-John &amp; John Travolta,You´re The One That I Want
08/07/2016 06:27,Laura Branigan,Self Control
08/07/2016 06:24,Cher,Dark Lady
08/07/2016 06:21,Pet Shop Boys,West End Girls
08/07/2016 06:16,Christie,Yellow River
08/07/2016 06:12,Police,Every Breath You Take
08/07/2016 06:07,Womack &amp; Womack,Teardrops
08/07/2016 06:04,Boney M.,Daddy Cool
08/07/2016 06:01,Roy Orbison,You Got It
08/07/2016 05:56,ABBA,Gimme Gimme Gimme
08/07/2016 05:50,Art Company,Suzanna
08/07/2016 05:46,Chris Rea,Road To Hell
08/07/2016 05:43,Buggles,Video Killed The Radio Star
08/07/2016 05:40,Phil Collins,You Can&apos;t Hurry Love
08/07/2016 05:35,Toto,Rosanna
08/07/2016 05:31,Kool &amp; The Gang,Celebration
08/07/2016 05:28,Ottawan,Hands Up
08/07/2016 05:24,Boomtown Rats,I Don´t Like Mondays
08/07/2016 05:20,David Bowie,Starman
08/07/2016 05:16,Culture Club,Karma Chameleon
08/07/2016 05:13,Beatles,Here Comes The Sun
08/07/2016 05:09,Maggie Reilly,Everytime We Touch
08/07/2016 05:06,Bee Gees,Night Fever
08/07/2016 05:01,Bonnie Tyler,If You Were a Woman (And I Was a Man)
08/07/2016 04:57,Modern Talking,Brother Louie
08/07/2016 04:51,Dire Straits,Sultans Of Swing
08/07/2016 04:47,Prince,Purple Rain
08/07/2016 04:44,Abc,The Look Of Love (Part 1)
08/07/2016 04:41,Frankie Valli,Grease
08/07/2016 04:37,Tina Turner,Private Dancer
08/07/2016 04:33,Mr. Mister,Kyrie
08/07/2016 04:29,Falco,Rock Me Amadeus
08/07/2016 04:25,Hot Chocolate,You Sexy Thing
08/07/2016 04:21,Michael Jackson,Smooth Criminal
08/07/2016 04:17,Kiss,I Was Made For Loving You
08/07/2016 04:14,Paul Oxley´s Unit,Spanish Bars
08/07/2016 04:11,Dusty Springfield,Son Of a Preacher Man
08/07/2016 04:07,David Bowie,Let´s Dance
08/07/2016 04:05,Aretha Franklin,Think
08/07/2016 04:02,Donna Summer,This Time I Know It´s For Real
08/07/2016 03:58,Laid Back,Sunshine Reggae
08/07/2016 03:55,Toto,Hold The Line
08/07/2016 03:52,Kylie Minogue,The Loco-motion
08/07/2016 03:48,Alphaville,Big In Japan
08/07/2016 03:45,Creedence Clearwater Revival,Have You Ever Seen The Rain?
08/07/2016 03:41,Desireless,Voyage Voyage
08/07/2016 03:37,Cars,Drive
08/07/2016 03:34,Chris Rea,I Can Hear Your Heartbeat
08/07/2016 03:31,Abba,"I Do, I Do, I Do, I Do, I Do"
08/07/2016 03:26,Nik Kershaw,Wouldn&apos;t It Be Good
08/07/2016 03:22,Rod Stewart,Baby Jane
08/07/2016 03:18,Sandra,Everlasting Love
08/07/2016 03:14,Randy Crawford,Streetlife
08/07/2016 03:10,Frankie Goes To Hollywood,Relax
08/07/2016 03:07,Police,Message In A Bottle
08/07/2016 03:03,Village People,Y.M.C.A
08/07/2016 02:59,Dionne Warwick,Heartbreaker
08/07/2016 02:55,Van Halen,Jump
08/07/2016 02:51,U2,I Still Haven&apos;t Found What I&apos;m Looking For
08/07/2016 02:47,Men At Work,Down Under
08/07/2016 02:44,Stevie Wonder,You&apos;re The Sunshine Of My Life
08/07/2016 02:41,Pretenders,Don&apos;t Get Me Wrong
08/07/2016 02:36,Pointer Sisters,Jump (For My Love)
08/07/2016 02:32,Genesis,Jesus He Knows Me
08/07/2016 02:29,LaBelle,Lady Marmalade
08/07/2016 02:24,Billy Idol,White Wedding
08/07/2016 02:21,Boney M,Sunny
08/07/2016 02:17,Housemartins,Caravan Of Love
08/07/2016 02:13,Eric Clapton,I Shot the Sheriff
08/07/2016 02:09,Hall &amp; Oates,Maneater
08/07/2016 02:05,Abba,Take a Chance On Me
08/07/2016 02:02,Blues Brothers,Everybody Needs Somebody To Love
08/07/2016 01:59,Donna Summer,I Feel Love
08/07/2016 01:54,Depeche Mode,Enjoy The Silence
08/07/2016 01:51,Phill Collins,Two Hearts
08/07/2016 01:48,Fleetwood Mac,Little Lies
08/07/2016 01:44,Sister Sledge,We Are Family
08/07/2016 01:40,Cutting Crew,(I Just) Died In Your Arms
08/07/2016 01:36,Marvin Gaye,Sexual Healing
08/07/2016 01:32,Midnight Oil,Beds Are Burning
08/07/2016 01:28,Earth Wind &amp; Fire,September
08/07/2016 01:23,Peter Gabriel,Sledgehammer
08/07/2016 01:19,ABBA,Lay All Your Love On Me
08/07/2016 01:14,Michael Jackson,The Way You Make Me Feel
08/07/2016 01:11,Patrick Hernandez,Born To Be Alive
08/07/2016 01:07,Blondie,Call Me
08/07/2016 01:04,John Lennon,Woman
08/07/2016 01:00,Lionel Richie,All Night Long (All Night)
08/07/2016 00:56,Diana Ross,I&apos;m Coming Out
08/07/2016 00:53,Bonnie Tyler,It&apos;s A Heartache
08/07/2016 00:49,Tina Turner,We Don&apos;t Need Another Hero (Thunderdome)
08/07/2016 00:45,Weather Girls,It´s Raining Men
08/07/2016 00:41,Barry White,"You&apos;re The First, The Last, My Everything"
08/07/2016 00:37,Bob Marley,Could You Be Loved
08/07/2016 00:33,Survivor,Burning Heart
08/07/2016 00:30,Jan Hammer,Crockett´s Theme
08/07/2016 00:26,Boney M.,Rivers Of Babylon
08/07/2016 00:21,U2,With Or Without You
08/07/2016 00:18,Tina Charles,I Love To Love
08/07/2016 00:14,Paul Young,Come Back And Stay
08/07/2016 00:12,Tom Jones,It&apos;s Not Unusual
08/07/2016 00:08,Billy Idol,Sweet Sixteen
08/07/2016 00:04,ABBA,"Knowing Me, Knowing You"
08/07/2016 00:00,Aneka,Japanese Boy
07/07/2016 23:56,Sandra,Maria Magdalena
07/07/2016 23:51,Nena,99 Luftballons
07/07/2016 23:47,Boy George,Crying Game
07/07/2016 23:44,Supremes,Stop! In The Name Of Love
07/07/2016 23:39,Michael Jackson,Thriller
07/07/2016 23:33,Rod Stewart,Da Ya Think I&apos;m Sexy?
07/07/2016 23:29,Donna Summer,On The Radio
07/07/2016 23:24,Harpo,Moviestar
07/07/2016 23:19,Tina Turner,The Best
07/07/2016 23:16,J.J. Cale,Cocaine
07/07/2016 23:11,Earth Wind &amp; Fire,Let&apos;s Groove
07/07/2016 23:07,Diana Ross,Chain Reaction
07/07/2016 23:03,Ankie Bagger,Where Were You Last Night
07/07/2016 22:59,10 Cc,Dreadlock Holiday
07/07/2016 22:53,Bonnie Tyler,Holding Out For Hero
07/07/2016 22:50,ABBA,Mamma Mia
07/07/2016 22:44,Roxette,It Must Have Been Love
07/07/2016 22:40,Bee Gees,You Win Again
07/07/2016 22:36,Boney M.,Ma Baker
07/07/2016 22:30,Madonna,Like A Prayer
07/07/2016 22:27,Roy Orbison,"Oh, Pretty Woman"
07/07/2016 22:23,Michael Jackson,Billie Jean
07/07/2016 22:16,Laura Branigan,Gloria
07/07/2016 22:12,Eric Carmen,Hungry Eyes
07/07/2016 22:06,Eagles,Hotel California
07/07/2016 22:03,F.R. David,Words
07/07/2016 22:00,Gloria Gaynor,Reach Out I´ll Be There
07/07/2016 21:57,Shakin Stevens,You Drive Me Crazy
07/07/2016 21:54,King Ben E,Stand By Me
07/07/2016 21:51,Modern Talking,"You´re My Heart, You´re My Soul"
07/07/2016 21:44,Mr. Mister,Broken Wings
07/07/2016 21:39,James Brown,Living In America
07/07/2016 21:35,Mungo Jerry,In The Summertime
07/07/2016 21:32,Irene Cara,Fame
07/07/2016 21:28,Donna Summer,Hot Stuff
07/07/2016 21:23,Whitney Houston,How Will I Know
07/07/2016 21:17,Earth Wind &amp; Fire,Fantasy
07/07/2016 21:13,Murray Head,One Night In Bangkok
07/07/2016 21:10,Queen,Don´t Stop Me Now
07/07/2016 21:06,Toto,I´ll Be Over You
07/07/2016 21:02,Chris Rea,On The Beach
07/07/2016 20:59,Tom Jones,She&apos;s A Lady
07/07/2016 20:54,Sandra,In The Heat Of The Night
07/07/2016 20:51,Cher,Dark Lady
